FirstName,LastName,Email,Address,Subscription Plan,Monthly Streams Limit,Cost,Credit Card Number,ExpDate,Song Title,Artist Name,Album Title,Genre,Device,Song Length (min),Playlist Name,Playlist Position,Date,Over Limit,Pay-Per-Stream Fee
Ivy,Martin,cedarave.ivymartin@music.com,"1973 Cedar Ave, NC",Basic,50,4.99,8114-7354-4179-6996,5/12/2026,Who You Say I Am,Hillsong Worship,There Is More,Jazz,Desktop,5,Sleep,21,12/27/2023 14:51:57,No,0
Leo,Thompson,cedarave.leothompson@music.com,"610 Cedar Ave, IL",Basic,50,4.99,7369-7970-5965-7619,5/17/2026,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Blues,Mobile,9,Party,91,12/31/2023 14:51:05,No,0
Leo,Thompson,cedarave.leothompson@music.com,"3103 Cedar Ave, NC",Premium,100,9.99,4997-4793-8728-4176,5/22/2026,Another in the Fire,Hillsong UNITED,People,Jazz,Desktop,7,Relax,36,12/15/2023 14:51:53,No,0
Mona,Anderson,cedarave.monaanderson@music.com,"9500 Cedar Ave, CA",Premium,100,9.99,1550-5632-1829-8172,5/27/2026,Graves into Gardens,Elevation Worship,Graves into Gardens,Jazz,Desktop,7,Chill,38,12/28/2023 14:53:18,No,0
Quinn,Moore,cedarave.quinnmoore@music.com,"438 Cedar Ave, TX",Premium,100,9.99,2923-6967-4552-4666,6/1/2026,Reckless Love,Cory Asbury,Reckless Love,Electronic,Tablet,5,Road Trip,58,12/31/2023 14:52:36,No,0
Rob,Johnson,cedarave.robjohnson@music.com,"2998 Cedar Ave, CA",Free,10,0,4928-3015-9040-3270,5/27/2026,Chain Breaker,Zach Williams,Chain Breaker,Classical,Tablet,3,Study,31,12/3/2023 14:51:03,Yes,0.25
Tom,Anderson,cedarave.tomanderson@music.com,"1605 Cedar Ave, WA",Basic,50,4.99,9205-8517-9414-3271,6/1/2026,Raise a Hallelujah,Bethel Music,Victory,Reggae,Desktop,7,Party,57,12/19/2023 14:51:48,No,0
Hank,Anderson,elmst.hankanderson@music.com,"7691 Elm St, FL",Premium,100,9.99,6141-4389-5841-8470,6/6/2026,Rescue,Lauren Daigle,Look Up Child,Jazz,Mobile,4,Relax,11,12/21/2023 14:50:20,No,0
Ivy,Taylor,elmst.ivytaylor@music.com,"4114 Elm St, CA",Free,10,0,1424-3951-6367-9754,6/1/2026,Way Maker,Leeland,Better Word,Country,Tablet,8,Chill,88,12/26/2023 14:52:35,Yes,0.25
Mona,Moore,elmst.monamoore@music.com,"7878 Elm St, MI",Free,10,0,6720-1088-2120-8889,5/27/2026,Another in the Fire,Hillsong UNITED,People,Electronic,Mobile,7,Road Trip,36,12/8/2023 14:52:06,No,0
Mona,Taylor,elmst.monataylor@music.com,"7383 Elm St, FL",Premium,100,9.99,6211-4985-5463-5059,6/1/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Reggae,Mobile,4,Workout,89,12/9/2023 14:53:00,No,0
Rob,Smith,elmst.robsmith@music.com,"6527 Elm St, OH",Free,10,0,6963-2238-4725-1681,5/27/2026,Do It Again,Elevation Worship,There Is a Cloud,Reggae,Desktop,6,Relax,60,12/24/2023 14:49:49,No,0
Tom,Jackson,elmst.tomjackson@music.com,"228 Elm St, CA",Basic,50,4.99,7999-8992-8956-6917,6/1/2026,Raise a Hallelujah,Bethel Music,Victory,Pop,Desktop,7,Party,77,12/10/2023 14:51:14,No,0
Alice,Lee,hickoryct.alicelee@music.com,"2065 Hickory Ct, PA",Free,10,0,6399-3195-3274-8715,5/27/2026,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Classical,Tablet,4,Study,75,12/1/2023 14:52:15,No,0
Grace,Thompson,hickoryct.gracethompson@music.com,"6545 Hickory Ct, FL",Free,10,0,6757-5507-4151-6777,5/22/2026,Battle Belongs,Phil Wickham,Hymn of Heaven,Classical,Mobile,4,Chill,60,12/13/2023 14:52:45,Yes,0.25
Leo,Taylor,hickoryct.leotaylor@music.com,"559 Hickory Ct, WA",Basic,50,4.99,1414-2119-5628-7259,5/27/2026,Battle Belongs,Phil Wickham,Hymn of Heaven,Metal,Tablet,4,Workout,5,12/11/2023 14:48:48,No,0
Nina,Scott,hickoryct.ninascott@music.com,"914 Hickory Ct, TX",Basic,50,4.99,1669-9641-6721-2780,6/1/2026,See a Victory,Elevation Worship,At Midnight,Jazz,Tablet,6,Focus,69,12/1/2023 14:52:40,No,0
Rob,Lee,hickoryct.roblee@music.com,"7997 Hickory Ct, NC",Basic,50,4.99,9420-8340-9916-1738,6/6/2026,Known,Tauren Wells,Hills and Valleys,Jazz,Desktop,4,Sleep,85,12/1/2023 14:51:52,No,0
Carol,Lopez,maplest.carollopez@music.com,"3930 Maple St, MI",Basic,50,4.99,4635-8543-6549-8581,6/11/2026,Reckless Love,Cory Asbury,Reckless Love,Jazz,Desktop,5,Sleep,59,12/8/2023 14:51:54,No,0
Eve,Thomas,maplest.evethomas@music.com,"9622 Maple St, PA",Premium,100,9.99,9404-2073-4825-8223,6/16/2026,Chain Breaker,Zach Williams,Chain Breaker,Pop,Mobile,3,Sleep,56,12/2/2023 14:50:10,No,0
Jack,White,maplest.jackwhite@music.com,"4826 Maple St, MI",Basic,50,4.99,4735-5546-8043-9777,6/21/2026,Holy Water,We The Kingdom,Holy Water,Reggae,Mobile,5,Chill,28,12/23/2023 14:50:00,No,0
Karen,Clark,maplest.karenclark@music.com,"9595 Maple St, FL",Premium,100,9.99,3429-8716-9596-7502,6/26/2026,Battle Belongs,Phil Wickham,Hymn of Heaven,Electronic,Tablet,4,Relax,79,12/3/2023 14:52:20,No,0
Leo,Martin,maplest.leomartin@music.com,"90 Maple St, FL",Basic,50,4.99,2551-2848-8762-5466,7/1/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Country,Mobile,7,Workout,89,12/20/2023 14:52:34,No,0
Nina,Brown,maplest.ninabrown@music.com,"2981 Maple St, CA",Premium,100,9.99,3820-5785-8517-5618,7/6/2026,Good Grace,Hillsong UNITED,People,Reggae,Tablet,8,Study,37,12/10/2023 14:50:17,No,0
Pam,Martin,maplest.pammartin@music.com,"3444 Maple St, MI",Premium,100,9.99,8828-8014-7458-6508,7/11/2026,You Say,Lauren Daigle,Look Up Child,Country,Desktop,4,Sleep,85,12/16/2023 14:50:21,No,0
Carol,Martin,oakave.carolmartin@music.com,"5384 Oak Ave, MI",Free,10,0,4891-9702-7007-5356,7/6/2026,Till I Found You,Phil Wickham,Living Hope,Reggae,Desktop,5,Focus,9,12/24/2023 14:48:49,No,0
Frank,Davis,oakave.frankdavis@music.com,"5621 Oak Ave, NY",Premium,100,9.99,5680-6123-6575-5549,7/11/2026,Holy Water,We The Kingdom,Holy Water,Hip-Hop,Mobile,5,Focus,69,12/11/2023 14:49:48,No,0
Frank,Wilson,oakave.frankwilson@music.com,"874 Oak Ave, NY",Basic,50,4.99,4411-8117-8419-7563,7/16/2026,Run to the Father,Cody Carnes,Run to the Father,Blues,Mobile,6,Study,21,12/26/2023 14:50:31,No,0
Nina,Martin,oakave.ninamartin@music.com,"5938 Oak Ave, WA",Basic,50,4.99,2906-9394-7644-2739,7/21/2026,Known,Tauren Wells,Hills and Valleys,Rock,Desktop,4,Relax,42,12/9/2023 14:50:54,No,0
Oscar,King,oakave.oscarking@music.com,"8961 Oak Ave, NC",Basic,50,4.99,8750-3313-7668-4693,7/26/2026,Till I Found You,Phil Wickham,Living Hope,Blues,Desktop,5,Sleep,52,12/4/2023 14:53:11,No,0
Pam,Brown,oakave.pambrown@music.com,"8134 Oak Ave, TX",Basic,50,4.99,7870-8185-8697-9287,7/31/2026,Holy Water,We The Kingdom,Holy Water,Blues,Mobile,5,Chill,2,12/18/2023 14:50:23,No,0
Quinn,White,oakave.quinnwhite@music.com,"8512 Oak Ave, PA",Basic,50,4.99,7825-3122-8972-2794,8/5/2026,Till I Found You,Phil Wickham,Living Hope,Reggae,Desktop,5,Road Trip,89,12/9/2023 14:53:17,No,0
Rob,Thompson,oakave.robthompson@music.com,"8278 Oak Ave, MI",Free,10,0,5245-9518-6003-2218,7/31/2026,King of Kings,Hillsong Worship,Awake,Blues,Desktop,5,Study,10,12/9/2023 14:53:16,No,0
Carol,Moore,pinerd.carolmoore@music.com,"4609 Pine Rd, WA",Free,10,0,4078-2396-2359-5518,7/26/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Rock,Mobile,4,Workout,63,12/20/2023 14:50:14,No,0
Jack,Davis,pinerd.jackdavis@music.com,"6483 Pine Rd, TX",Basic,50,4.99,8322-1863-9468-5042,7/31/2026,Who You Say I Am,Hillsong Worship,There Is More,Metal,Tablet,5,Road Trip,54,12/15/2023 14:51:59,No,0
Oscar,Perez,pinerd.oscarperez@music.com,"2692 Pine Rd, CA",Premium,100,9.99,4983-2993-6653-7574,8/5/2026,King of Kings,Hillsong Worship,Awake,Electronic,Mobile,5,Party,83,12/31/2023 14:51:28,No,0
Quinn,Miller,pinerd.quinnmiller@music.com,"8079 Pine Rd, IL",Free,10,0,6392-7714-8126-1812,7/31/2026,King of Kings,Hillsong Worship,Awake,Country,Desktop,5,Study,72,12/26/2023 14:49:51,No,0
Quinn,Miller,pinerd.quinnmiller@music.com,"5493 Pine Rd, CA",Basic,50,4.99,5634-9021-8241-4362,8/5/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Country,Mobile,4,Road Trip,54,12/8/2023 14:52:12,No,0
Rob,King,pinerd.robking@music.com,"2803 Pine Rd, NY",Basic,50,4.99,3361-3532-7239-5217,8/10/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Jazz,Desktop,7,Sleep,98,12/5/2023 14:50:30,No,0
Alice,Lopez,spruceln.alicelopez@music.com,"1578 Spruce Ln, NC",Free,10,0,6407-6260-4126-2249,8/5/2026,God Only Knows,for KING & COUNTRY,Burn the Ships,Jazz,Tablet,3,Sleep,54,12/31/2023 14:52:13,Yes,0.25
Bob,Lopez,spruceln.boblopez@music.com,"9382 Spruce Ln, PA",Free,10,0,9602-7682-4374-2917,7/31/2026,Good Grace,Hillsong UNITED,People,Electronic,Desktop,8,Study,5,12/11/2023 14:49:58,No,0
Dave,Martin,spruceln.davemartin@music.com,"6811 Spruce Ln, CA",Premium,100,9.99,4501-3513-2928-1855,8/5/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Hip-Hop,Tablet,7,Relax,83,12/5/2023 14:49:24,No,0
Frank,Martin,spruceln.frankmartin@music.com,"6205 Spruce Ln, OH",Free,10,0,6037-9156-7321-5720,7/31/2026,King of Kings,Hillsong Worship,Awake,Classical,Tablet,5,Workout,57,12/24/2023 14:53:10,No,0
Ivy,Miller,spruceln.ivymiller@music.com,"5688 Spruce Ln, FL",Free,10,0,8630-7483-2716-2791,7/26/2026,Oceans (Where Feet May Fail),Hillsong United,Zion,Blues,Mobile,9,Relax,53,12/20/2023 14:50:32,No,0
Mona,Smith,spruceln.monasmith@music.com,"8726 Spruce Ln, NY",Free,10,0,1652-3146-2410-6499,7/21/2026,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Blues,Mobile,4,Road Trip,91,12/22/2023 14:50:23,No,0
Quinn,Brown,spruceln.quinnbrown@music.com,"1085 Spruce Ln, MI",Free,10,0,4648-3411-4892-7585,7/16/2026,God Only Knows,for KING & COUNTRY,Burn the Ships,Country,Mobile,3,Relax,72,12/13/2023 14:49:08,No,0
Rob,King,spruceln.robking@music.com,"3305 Spruce Ln, NC",Free,10,0,2945-3133-4413-6590,7/11/2026,Battle Belongs,Phil Wickham,Hymn of Heaven,Electronic,Desktop,4,Workout,27,12/2/2023 14:49:11,No,0
Frank,Lopez,willowblvd.franklopez@music.com,"942 Willow Blvd, PA",Premium,100,9.99,6888-1366-7587-6935,7/16/2026,Gratitude,Brandon Lake,House of Miracles,Blues,Tablet,7,Road Trip,73,12/3/2023 14:52:42,No,0
Mona,Smith,willowblvd.monasmith@music.com,"7911 Willow Blvd, IL",Basic,50,4.99,7042-5445-6443-5956,7/21/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Jazz,Desktop,7,Chill,58,12/6/2023 14:50:40,No,0
Alice,King,maplest.aliceking@music.com,"6800 Maple St, FL",Free,10,0,1715-1513-6937-2607,7/16/2026,Oceans (Where Feet May Fail),Hillsong United,Zion,Metal,Mobile,9,Party,65,5/4/2024 18:01:04,No,0
Frank,Scott,hickoryct.frankscott@music.com,"3362 Hickory Ct, WA",Basic,50,4.99,4265-3266-7629-6871,7/21/2026,Another in the Fire,Hillsong UNITED,People,Metal,Mobile,7,Relax,42,8/20/2024 18:01:05,No,0
Tom,Jackson,ashdr.tomjackson@music.com,"8390 Ash Dr, PA",Free,10,0,4016-4514-4988-4225,7/16/2026,Holy Water,We The Kingdom,Holy Water,Electronic,Tablet,5,Party,8,1/19/2024 18:01:05,No,0
Karen,Jackson,willowblvd.karenjackson@music.com,"3945 Willow Blvd, TX",Basic,50,4.99,1605-7800-7540-3478,7/21/2026,Reckless Love,Cory Asbury,Reckless Love,Metal,Mobile,5,Focus,12,3/30/2024 18:01:05,No,0
Eve,White,birchst.evewhite@music.com,"1711 Birch St, WA",Basic,50,4.99,8810-5879-6391-7786,7/26/2026,You Say,Lauren Daigle,Look Up Child,Metal,Tablet,4,Focus,33,4/24/2024 18:01:05,No,0
Quinn,Wilson,elmst.quinnwilson@music.com,"8968 Elm St, NY",Free,10,0,2567-7218-6627-9509,7/21/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Blues,Mobile,7,Sleep,91,1/30/2024 18:01:05,No,0
Rob,King,spruceln.robking@music.com,"405 Spruce Ln, OH",Basic,50,4.99,2709-8415-1217-1177,7/26/2026,You Say,Lauren Daigle,Look Up Child,Electronic,Tablet,4,Focus,96,2/16/2024 18:01:05,No,0
Dave,King,spruceln.daveking@music.com,"355 Spruce Ln, OH",Basic,50,4.99,6386-4491-2376-7789,7/31/2026,Known,Tauren Wells,Hills and Valleys,Pop,Desktop,4,Workout,36,11/17/2023 18:01:06,No,0
Oscar,Lopez,willowblvd.oscarlopez@music.com,"8396 Willow Blvd, OH",Premium,100,9.99,3320-6585-7991-7922,8/5/2026,Chain Breaker,Zach Williams,Chain Breaker,Pop,Desktop,3,Focus,7,12/14/2023 18:01:06,No,0
Frank,Martin,birchst.frankmartin@music.com,"6131 Birch St, TX",Premium,100,9.99,1254-2239-1988-5384,8/10/2026,Way Maker,Leeland,Better Word,Metal,Desktop,8,Focus,9,10/9/2023 18:01:06,No,0
Alice,Lopez,pinerd.alicelopez@music.com,"7149 Pine Rd, TX",Basic,50,4.99,7131-8852-7284-7614,8/15/2026,Known,Tauren Wells,Hills and Valleys,Classical,Mobile,4,Chill,61,4/23/2024 18:01:07,No,0
Leo,Davis,birchst.leodavis@music.com,"761 Birch St, IL",Basic,50,4.99,4060-7171-4412-6777,8/20/2026,Holy Water,We The Kingdom,Holy Water,Jazz,Tablet,5,Workout,93,5/21/2024 18:01:07,No,0
Hank,Perez,pinerd.hankperez@music.com,"4471 Pine Rd, IL",Free,10,0,5851-5566-3093-4960,8/15/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Country,Tablet,7,Workout,25,5/23/2024 18:01:07,Yes,0.25
Ivy,Scott,birchst.ivyscott@music.com,"4930 Birch St, NY",Basic,50,4.99,3369-2730-4242-4826,8/20/2026,Known,Tauren Wells,Hills and Valleys,Reggae,Mobile,4,Focus,19,4/10/2024 18:01:07,No,0
Frank,Moore,maplest.frankmoore@music.com,"1036 Maple St, CA",Basic,50,4.99,5155-6831-1933-4664,8/25/2026,Known,Tauren Wells,Hills and Valleys,Country,Tablet,4,Relax,5,2/16/2024 18:01:07,No,0
Ivy,Taylor,hickoryct.ivytaylor@music.com,"9085 Hickory Ct, FL",Free,10,0,9363-3889-4223-3073,8/20/2026,Rise Up (Lazarus),CAIN,Rise Up,Classical,Desktop,4,Workout,25,5/20/2024 18:01:08,No,0
Karen,Jackson,oakave.karenjackson@music.com,"1482 Oak Ave, NC",Basic,50,4.99,9415-3537-1732-6491,8/25/2026,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Country,Tablet,6,Focus,56,7/10/2024 18:01:08,No,0
Bob,Miller,cedarave.bobmiller@music.com,"8931 Cedar Ave, CA",Free,10,0,7423-1801-6605-9116,8/20/2026,Holy Water,We The Kingdom,Holy Water,Classical,Desktop,5,Chill,79,4/11/2024 18:01:08,No,0
Frank,Johnson,oakave.frankjohnson@music.com,"2760 Oak Ave, NY",Free,10,0,6187-2789-4440-8899,8/15/2026,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Reggae,Tablet,4,Focus,53,2/18/2024 18:01:08,No,0
Pam,Taylor,maplest.pamtaylor@music.com,"8097 Maple St, PA",Free,10,0,2863-1722-1965-7022,8/10/2026,Living Hope,Phil Wickham,Living Hope,Pop,Tablet,5,Workout,59,12/26/2023 18:01:08,No,0
Oscar,White,elmst.oscarwhite@music.com,"4825 Elm St, PA",Free,10,0,1417-4888-3919-9366,8/5/2026,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Classical,Mobile,7,Sleep,22,8/6/2024 18:01:09,Yes,0.25
Bob,Jackson,ashdr.bobjackson@music.com,"4437 Ash Dr, PA",Basic,50,4.99,8888-7650-3454-5772,8/10/2026,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Classical,Tablet,4,Relax,30,3/11/2024 18:01:09,No,0
Rob,King,spruceln.robking@music.com,"405 Spruce Ln, OH",Premium,100,9.99,4882-5046-8768-4222,8/15/2026,Do It Again,Elevation Worship,There Is a Cloud,Pop,Tablet,6,Chill,40,3/2/2024 18:01:09,No,0
Jack,Johnson,birchst.jackjohnson@music.com,"8163 Birch St, NC",Premium,100,9.99,9223-3748-8597-5780,8/20/2026,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Hip-Hop,Mobile,4,Workout,96,1/29/2024 18:01:09,No,0
Ivy,Scott,birchst.ivyscott@music.com,"4930 Birch St, NY",Basic,50,4.99,7213-9332-3222-9207,8/25/2026,Who You Say I Am,Hillsong Worship,There Is More,Jazz,Tablet,5,Road Trip,61,10/8/2023 18:01:09,No,0
Bob,Brown,pinerd.bobbrown@music.com,"9428 Pine Rd, WA",Basic,50,4.99,1927-5583-3349-7542,8/30/2026,Rescue,Lauren Daigle,Look Up Child,Pop,Desktop,4,Sleep,10,9/9/2024 18:01:09,No,0
Bob,Brown,pinerd.bobbrown@music.com,"9428 Pine Rd, WA",Basic,50,4.99,3878-1017-7978-9840,9/4/2026,See a Victory,Elevation Worship,At Midnight,Country,Tablet,6,Focus,10,3/20/2024 18:01:10,No,0
Pam,White,pinerd.pamwhite@music.com,"2199 Pine Rd, WA",Premium,100,9.99,1522-8647-8728-9537,9/9/2026,Raise a Hallelujah,Bethel Music,Victory,Blues,Mobile,7,Chill,52,9/23/2023 18:01:10,No,0
Oscar,Lopez,willowblvd.oscarlopez@music.com,"8396 Willow Blvd, OH",Free,10,0,5757-8967-5959-9959,9/4/2026,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Reggae,Mobile,6,Party,3,1/3/2024 18:01:10,No,0
Frank,Lopez,hickoryct.franklopez@music.com,"8059 Hickory Ct, CA",Premium,100,9.99,1199-1072-5218-9536,9/9/2026,Chain Breaker,Zach Williams,Chain Breaker,Electronic,Mobile,3,Focus,55,11/1/2023 18:01:10,No,0
Bob,Miller,cedarave.bobmiller@music.com,"8931 Cedar Ave, CA",Free,10,0,5557-3447-7737-2155,9/4/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Rock,Tablet,4,Party,45,2/4/2024 18:01:10,Yes,0.25
Grace,Perez,birchst.graceperez@music.com,"3701 Birch St, PA",Free,10,0,6696-4020-6128-8989,8/30/2026,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Pop,Mobile,4,Study,86,1/9/2024 18:01:11,No,0
Oscar,White,elmst.oscarwhite@music.com,"4825 Elm St, PA",Free,10,0,3877-3332-5343-6633,8/25/2026,Raise a Hallelujah,Bethel Music,Victory,Blues,Desktop,7,Relax,46,10/28/2023 18:01:12,Yes,0.25
Leo,Perez,hickoryct.leoperez@music.com,"2816 Hickory Ct, FL",Premium,100,9.99,6460-1995-1001-3790,8/30/2026,Chain Breaker,Zach Williams,Chain Breaker,Country,Desktop,3,Relax,77,9/8/2024 18:01:12,No,0
Bob,Miller,cedarave.bobmiller@music.com,"8931 Cedar Ave, CA",Premium,100,9.99,5270-6561-5635-7281,9/4/2026,See a Victory,Elevation Worship,At Midnight,Hip-Hop,Mobile,6,Party,85,12/4/2023 18:01:12,No,0
Nina,White,birchst.ninawhite@music.com,"612 Birch St, CA",Basic,50,4.99,9011-7027-3572-7187,9/9/2026,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Metal,Tablet,9,Party,45,12/3/2023 18:01:12,No,0
Frank,Moore,maplest.frankmoore@music.com,"1036 Maple St, CA",Basic,50,4.99,1782-4037-4601-5807,9/14/2026,Rescue,Lauren Daigle,Look Up Child,Jazz,Desktop,4,Relax,16,4/26/2024 18:01:12,No,0
Oscar,White,maplest.oscarwhite@music.com,"1015 Maple St, TX",Basic,50,4.99,1900-5750-4748-8241,9/19/2026,Alive & Breathing,Matt Maher,Alive & Breathing,Electronic,Desktop,4,Road Trip,38,1/13/2024 18:01:12,No,0
Oscar,White,elmst.oscarwhite@music.com,"4825 Elm St, PA",Free,10,0,3295-7117-7340-8032,9/14/2026,Graves into Gardens,Elevation Worship,Graves into Gardens,Blues,Desktop,7,Workout,93,10/21/2023 18:01:13,No,0
Tom,Lee,willowblvd.tomlee@music.com,"6925 Willow Blvd, CA",Basic,50,4.99,7977-6771-9784-3228,9/19/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Pop,Mobile,4,Workout,100,1/3/2024 18:01:13,No,0
Tom,Lee,willowblvd.tomlee@music.com,"6925 Willow Blvd, CA",Premium,100,9.99,4133-4960-8152-5366,9/24/2026,Known,Tauren Wells,Hills and Valleys,Reggae,Desktop,4,Focus,98,3/27/2024 18:01:13,No,0
Oscar,Scott,elmst.oscarscott@music.com,"2594 Elm St, WA",Premium,100,9.99,5288-2979-4135-8334,9/29/2026,Graves into Gardens,Elevation Worship,Graves into Gardens,Rock,Mobile,7,Workout,14,10/17/2023 18:01:13,No,0
Frank,Lopez,hickoryct.franklopez@music.com,"8059 Hickory Ct, CA",Basic,50,4.99,7315-7979-4609-6449,10/4/2026,Who You Say I Am,Hillsong Worship,There Is More,Classical,Tablet,5,Party,22,8/17/2024 18:01:14,No,0
Ivy,Moore,maplest.ivymoore@music.com,"7391 Maple St, PA",Premium,100,9.99,2561-1974-8547-3003,10/9/2026,You Say,Lauren Daigle,Look Up Child,Jazz,Mobile,4,Road Trip,9,4/28/2024 18:01:14,No,0
Leo,Davis,birchst.leodavis@music.com,"761 Birch St, IL",Basic,50,4.99,8294-5633-8221-4547,10/14/2026,Good Grace,Hillsong UNITED,People,Rock,Desktop,8,Study,28,7/31/2024 18:01:14,No,0
Nina,Anderson,spruceln.ninaanderson@music.com,"1100 Spruce Ln, NC",Premium,100,9.99,7081-5613-2273-8537,10/19/2026,Good Grace,Hillsong UNITED,People,Rock,Tablet,8,Road Trip,68,2/10/2024 18:01:15,No,0
Jack,Johnson,birchst.jackjohnson@music.com,"8163 Birch St, NC",Free,10,0,6615-8542-1033-3108,10/14/2026,Good Grace,Hillsong UNITED,People,Jazz,Desktop,8,Party,89,12/24/2023 18:01:15,Yes,0.25
Karen,Wilson,hickoryct.karenwilson@music.com,"7756 Hickory Ct, WA",Basic,50,4.99,2106-9864-8216-6203,10/19/2026,Rescue,Lauren Daigle,Look Up Child,Classical,Tablet,4,Workout,78,12/28/2023 18:01:15,No,0
Frank,Scott,hickoryct.frankscott@music.com,"3362 Hickory Ct, WA",Free,10,0,3055-2194-9593-4547,10/14/2026,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Reggae,Tablet,4,Sleep,31,6/26/2024 18:01:15,No,0
Tom,Lee,pinerd.tomlee@music.com,"7726 Pine Rd, NC",Free,10,0,5307-1651-9524-6719,10/9/2026,Do It Again,Elevation Worship,There Is a Cloud,Hip-Hop,Mobile,6,Party,100,11/26/2023 18:01:15,No,0
Ivy,Taylor,hickoryct.ivytaylor@music.com,"9085 Hickory Ct, FL",Basic,50,4.99,9054-3581-1457-8752,10/14/2026,Living Hope,Phil Wickham,Living Hope,Metal,Mobile,5,Study,91,12/24/2023 18:01:16,No,0
Quinn,Miller,spruceln.quinnmiller@music.com,"324 Spruce Ln, FL",Basic,50,4.99,1027-2758-9282-7145,10/19/2026,Till I Found You,Phil Wickham,Living Hope,Metal,Tablet,5,Sleep,16,10/18/2023 18:01:16,No,0
Oscar,Lopez,willowblvd.oscarlopez@music.com,"8396 Willow Blvd, OH",Premium,100,9.99,5918-8423-2345-5188,10/24/2026,Till I Found You,Phil Wickham,Living Hope,Blues,Tablet,5,Workout,12,7/20/2024 18:01:16,No,0
Mona,Thompson,maplest.monathompson@music.com,"314 Maple St, OH",Basic,50,4.99,1713-4883-8124-7017,10/29/2026,Good Grace,Hillsong UNITED,People,Blues,Desktop,8,Focus,73,7/31/2024 18:01:16,No,0
Oscar,White,maplest.oscarwhite@music.com,"1015 Maple St, TX",Basic,50,4.99,1750-2719-6319-6737,11/3/2026,Good Grace,Hillsong UNITED,People,Reggae,Mobile,8,Study,18,12/16/2023 18:01:16,No,0
Jack,Smith,hickoryct.jacksmith@music.com,"3160 Hickory Ct, WA",Free,10,0,7898-2116-8513-3826,10/29/2026,Raise a Hallelujah,Bethel Music,Victory,Electronic,Desktop,7,Workout,77,5/28/2024 18:01:17,Yes,0.25
Oscar,Lopez,willowblvd.oscarlopez@music.com,"8396 Willow Blvd, OH",Basic,50,4.99,4355-9475-8553-4359,11/3/2026,You Say,Lauren Daigle,Look Up Child,Classical,Tablet,4,Focus,92,10/23/2023 18:01:17,No,0
Karen,Johnson,oakave.karenjohnson@music.com,"9439 Oak Ave, MI",Free,10,0,2828-7048-1719-9499,10/29/2026,Who You Say I Am,Hillsong Worship,There Is More,Rock,Mobile,5,Workout,23,11/26/2023 18:01:17,No,0
Ivy,Moore,maplest.ivymoore@music.com,"7391 Maple St, PA",Free,10,0,6903-6407-1629-6638,10/24/2026,You Say,Lauren Daigle,Look Up Child,Country,Desktop,4,Sleep,15,12/17/2023 18:01:17,No,0
Karen,Martin,pinerd.karenmartin@music.com,"3958 Pine Rd, OH",Basic,50,4.99,9677-3200-6381-3067,10/29/2026,Holy Water,We The Kingdom,Holy Water,Pop,Mobile,5,Sleep,15,4/21/2024 18:01:17,No,0
Grace,Perez,birchst.graceperez@music.com,"3701 Birch St, PA",Basic,50,4.99,3575-1339-1916-9383,11/3/2026,God Only Knows,for KING & COUNTRY,Burn the Ships,Country,Tablet,3,Focus,7,6/8/2024 18:01:19,No,0
Tom,Clark,ashdr.tomclark@music.com,"9015 Ash Dr, NC",Basic,50,4.99,8087-8189-6840-6418,11/8/2026,Who You Say I Am,Hillsong Worship,There Is More,Blues,Mobile,5,Workout,46,9/4/2024 18:01:19,No,0
Mona,Thompson,maplest.monathompson@music.com,"314 Maple St, OH",Premium,100,9.99,5101-8930-9284-4135,11/13/2026,Hold On to Me,Lauren Daigle,Hold On to Me,Hip-Hop,Mobile,4,Workout,27,12/22/2023 18:01:19,No,0
Jack,Davis,elmst.jackdavis@music.com,"2645 Elm St, NC",Basic,50,4.99,5124-2083-5309-4260,11/18/2026,Gratitude,Brandon Lake,House of Miracles,Metal,Tablet,7,Workout,31,10/26/2023 18:01:19,No,0
